person_name,acct_num,card_company,card_number,txn_datetime,merch_name,merch_cat,txn_amount,currency,pay_meth,city,txn_type,bill_cyc,txn_status
gutierrezlaurie,GB45ZHGP34505659596181,VISA,4653485956951755,2025-07-10 20:14:03,ShopClues,Electronics,1184.08,INR,Debit Card,Baileyfort,Purchase,May,Pending
brandon30,GB34LBJE27854612355479,chhupay,4627525690091,2025-06-22 08:15:54,FirstCry,Travel,43591.97,INR,RTGS,Richardburgh,Withdrawal,September,Approved
gonzalesdana,GB31VUPW30746146421725,VISA,3510560873063002,2025-03-30 13:24:00,Pepperfry,Electronics,64576.92,INR,Debit Card,Brittneyview,Purchase,October,Pending
john12,GB16VEZT02009998137837,Diners Club,4987416675272212,2025-10-21 15:46:20,Spar Hypermarket,Health,16182.91,INR,Credit Card,West Joshua,Deposit,October,Approved
jacksonmatthew,GB22BEUO70195514396860,Mastercard,4059335225183,2025-05-01 12:09:39,Aditya Birla Retai,Dining,61086.07,INR,Debit Card,South Kayla,Withdrawal,October,Approved
krodriguez,GB74GSLT58765186721854,rupay,4035891289780291,2025-10-28 03:57:08,JioMart,Travel,59806.90,INR,Credit Card,Williamsborough,Withdrawal,August,Reversed
mosessamuel,GB81JNLB90551356471212,Maestro,180094993418479,2025-07-29 01:55:47,Trends,Grocery,79119.88,INR,RTGS,Jessicaberg,Refund,August,Reversed
anthonymarks,GB91FHJK14787204030326,Maestro,4989738570845,2025-08-03 04:28:43,Reliance Retail,Health,85551.02,INR,NEFT,Mcdowellberg,Purchase,March,Declined
mpage,GB19GYAC20035342393127,VISA,213125686274638,2025-12-17 18:43:56,Spar Hypermarket,Clothing,21414.72,INR,Debit Card,South Jessicabury,Deposit,June,Declined
johnsondaniel,GB56ZNVF88315648516656,chhupay,676168134143,2025-06-17 16:02:06,JioMart,Travel,18691.56,INR,Mobile Payment,Mayerberg,Deposit,October,Approved
oherman,GB46DDQZ58416729436376,Maestro,372471348051478,2025-09-25 14:58:41,Zivame,Grocery,25512.16,INR,NEFT,Margaretburgh,Withdrawal,March,Pending
smithkristen,GB88SAGH76024157128618,saphiro,4182796667584,2025-11-29 03:04:09,Reliance Retail,Dining,17605.44,INR,Bank Transfer,South Laurafurt,Purchase,August,Declined
savannah35,GB72KCKN85012362713414,VISA,4348955714424213,2025-10-31 04:21:57,Zivame,Clothing,13522.37,INR,Credit Card,New Kayla,Refund,November,Pending
cassidymcgee,GB65PGVU95510251284111,VISA,346095842537253,2025-05-23 14:19:59,Westside,Clothing,92623.10,INR,Debit Card,New Monicafort,Purchase,December,Approved
merrittlinda,GB62WJRS34755487825765,VISA,3510560873063002,2025-08-02 17:27:38,V-Mart Retail Ltd,Grocery,30100.63,INR,Credit Card,Fergusonfurt,Purchase,October,Reversed
ryoung,GB42DWOI77508178733119,chhupay,4157560381227673,2025-02-22 23:55:27,IKEA India,Clothing,92047.71,INR,Mobile Payment,Robertsonland,Deposit,February,Reversed
ryoung,GB65PRWO37415419301569,chhupay,4423901009290420,2025-03-17 13:27:28,Westside,Dining,19977.71,INR,Debit Card,Marcusburgh,Withdrawal,January,Reversed
dwalker,GB22NLFO33040620566322,amex,2335267149582485,2025-06-22 18:40:16,Trends,Health,39593.61,INR,Bank Transfer,South Patricialand,Deposit,July,Reversed
tiffanysmith,GB44DZUZ37012384631549,American Express,4730380102663,2025-12-18 21:30:00,DMart,Grocery,85525.45,INR,Debit Card,Amyview,Purchase,August,Pending
santanatammy,GB72JJER83524966980302,Mastercard,4305597486962532,2025-09-30 07:45:38,Marks & Spencer India,Grocery,71735.19,INR,Bank Transfer,Nathanmouth,Deposit,July,Reversed
qstone,GB30QWVK67952278376505,VISA,4474530037734287,2025-11-01 00:57:17,Meesho,Dining,94290.14,INR,Debit Card,Petersonstad,Refund,February,Reversed
brianjennings,GB36EGUK58475299745806,Mastercard,4430689344757,2025-05-03 12:52:52,Lenskart,Clothing,50418.17,INR,Credit Card,Lake Stephenhaven,Deposit,February,Approved
richard47,GB75MYGG31203210905700,Diners Club,6590681748509098,2025-03-14 14:35:17,Lenskart,Dining,8209.01,INR,Credit Card,Lake Janeburgh,Withdrawal,October,Reversed
james18,GB74JBJV61933859500671,rupay,4310472549322152,2025-10-24 15:47:48,Lenskart,Travel,15499.67,INR,UPI,West Carl,Refund,September,Declined
jonathanperez,GB80IGPE27314499973081,chhupay,676347636836,2025-12-22 23:53:37,BigBasket,Health,63519.69,INR,Mobile Payment,Rushmouth,Refund,May,Declined
andrewpowell,GB73WPBA14096724974936,chhupay,3502178987226785,2025-05-30 02:27:11,Pantaloons,Health,4012.98,INR,Debit Card,Bobbymouth,Withdrawal,May,Approved
nicholasschmidt,GB31PXMN99068192066499,VISA,377973383035410,2025-02-09 15:42:58,JioMart,Electronics,38220.05,INR,Bank Transfer,Jerrymouth,Refund,July,Pending
joseph03,GB19CTNZ69356567337383,VISA,6529248769564588,2025-12-04 06:15:27,Flipkart,Clothing,38651.94,INR,Mobile Payment,New Melissatown,Purchase,March,Pending
rrojas,GB47SVSO23367289528956,amex,213168695223816,2025-06-15 20:05:05,Future Group,Grocery,18381.79,INR,Mobile Payment,East Jefferyshire,Deposit,August,Declined
heidipalmer,GB61KYSA33814503306333,VISA,4588073106189,2025-10-10 20:51:35,Spar Hypermarket,Health,77941.79,INR,Credit Card,West Latoyaburgh,Deposit,September,Approved
scottbrian,GB46BZCD14384585481313,saphiro,4505386677250,2025-07-05 14:24:01,Meesho,Health,65680.80,INR,NEFT,Port Mistyside,Withdrawal,October,Pending
rodriguezdaniel,GB62WRCD81374036750037,Maestro,180078475977011,2025-09-07 23:18:57,IKEA India,Health,86522.21,INR,Credit Card,Port Thomas,Refund,September,Declined
phoward,GB25IAFG54931244841239,saphiro,30251795067951,2025-09-08 17:43:44,Titan Company,Dining,74322.04,INR,NEFT,Rachelstad,Refund,June,Pending
thomas78,GB21MIGH85249079779567,Discover,4875565337852251,2025-08-24 05:12:31,ShopClues,Grocery,23340.19,INR,Bank Transfer,South Robert,Purchase,August,Reversed
vcrawford,GB51REPQ63465679457555,Discover,4423423195585,2025-10-12 14:11:11,Titan Company,Health,3170.15,INR,Credit Card,South Ivan,Withdrawal,January,Reversed
rodriguezbrianna,GB53RJXE23115011269251,Discover,6585751892279777,2025-09-08 01:06:56,Future Group,Travel,47763.99,INR,NEFT,Theresaport,Purchase,April,Pending
hmaldonado,GB98ZCGS86790744354918,saphiro,30505535302899,2025-12-24 23:13:45,Pantaloons,Grocery,67135.36,INR,Debit Card,Port Lisa,Deposit,January,Reversed
bakerlaura,GB56JUPV90893556854962,Mastercard,060456458607,2025-10-04 13:15:19,Zivame,Travel,82793.17,INR,NEFT,Nataliemouth,Purchase,December,Pending
jonathanperez,GB09ZLDF07514263350129,American Express,4850621838658918,2025-04-25 14:54:04,Nilgiris,Grocery,68216.98,INR,Mobile Payment,East Bethany,Purchase,May,Pending
cheryl40,GB31IABH08726000144719,VISA,4910382209664499549,2025-07-07 01:10:11,Nykaa,Travel,30266.24,INR,NEFT,Lake Samanthafurt,Refund,September,Declined
williamskendra,GB68UDQW10689938671178,VISA,4599498127288988,2025-06-16 14:04:55,Lenskart,Health,62799.01,INR,NEFT,Mayport,Deposit,September,Pending
daniel45,GB34RDAJ28293511708744,Mastercard,30356723639225,2025-10-08 04:29:06,Trends,Health,2181.19,INR,Credit Card,South Amybury,Withdrawal,February,Pending
whitneymoon,GB26KSOC29054855340762,Diners Club,213193813600257,2025-11-13 21:11:00,BlueStone,Travel,4639.58,INR,NEFT,East Johnathan,Refund,October,Approved
vwhite,GB31HWRJ05493456311320,VISA,4746986657405,2025-11-14 00:50:55,Pepperfry,Clothing,19790.92,INR,UPI,East Jeremy,Refund,January,Pending
mdavis,GB26LXOH90681400527716,Discover,4941624053943703674,2025-05-21 08:43:12,Reliance Digital,Travel,88757.12,INR,UPI,Danielleberg,Refund,September,Approved
fwilson,GB48XAQQ80407084909406,VISA,503821945634,2025-08-11 21:05:00,Flipkart,Grocery,68262.81,INR,Bank Transfer,Lake Christinafort,Deposit,December,Reversed
brichards,GB33VYST56511597261395,VISA,4003546167396,2025-06-02 13:49:26,Marks & Spencer India,Electronics,77017.39,INR,Mobile Payment,Jenniferberg,Refund,December,Pending
kenneththomas,GB30IBSV34703644110881,VISA,4880682880597879,2025-03-18 05:11:01,JioMart,Grocery,83525.73,INR,Bank Transfer,New Thomashaven,Withdrawal,December,Declined
mary48,GB29ZHGQ96404975650298,amex,38030035788242,2025-12-12 09:13:35,ShopClues,Dining,48422.55,INR,Bank Transfer,Christopherland,Refund,July,Reversed
lindsayavila,GB76GYQH65523423021003,VISA,3504758090300094,2025-07-15 17:45:11,Aditya Birla Retai,Electronics,44876.31,INR,UPI,Leeview,Withdrawal,January,Declined
ryanmurray,GB31KOMQ04330390364716,chhupay,213189175924913,2025-12-27 01:57:06,ShopClues,Health,57620.42,INR,Bank Transfer,East Diane,Refund,January,Pending
nathan17,GB83WYWV97353290814491,Maestro,4648168558438670579,2025-06-09 05:17:32,HyperCity,Health,68858.18,INR,Credit Card,North Trevor,Purchase,July,Declined
sarahduffy,GB65PRGD68463257381451,rupay,4063822129868082,2025-06-11 17:15:16,Bewakoof,Health,43871.20,INR,RTGS,East Christopher,Refund,November,Reversed
smithrobert,GB11TTNQ09774443920502,VISA,4622189331813643,2025-02-20 00:37:23,JioMart,Travel,4031.31,INR,Mobile Payment,Mitchellhaven,Deposit,September,Approved
alexander80,GB61YCVZ02712362305756,amex,4618324483623149459,2025-08-08 15:58:38,Nykaa,Travel,60614.66,INR,Bank Transfer,Dianeport,Deposit,March,Approved
davidsellers,GB25QSFX90490477123084,Discover,639086665242,2025-12-15 21:54:13,Fabindia,Health,44768.03,INR,Credit Card,East Lisafort,Withdrawal,July,Approved
mpetersen,GB69DXUM41383421438897,Maestro,213153338983927,2025-11-07 03:11:07,Big Bazaar,Dining,22910.10,INR,Credit Card,West Amanda,Refund,December,Declined
michellegonzalez,GB96QJRC69340165313508,American Express,2233835182989644,2025-03-26 05:47:33,IKEA India,Health,7893.36,INR,Bank Transfer,Port Edward,Deposit,February,Approved
bradley79,GB78XSZN86429330379352,chhupay,2278237669202003,2025-01-10 14:26:35,Marks & Spencer India,Health,21978.82,INR,Debit Card,Andrewsside,Purchase,May,Pending
carolyn69,GB41RSNG00196754430263,saphiro,4842176244759967,2025-03-17 08:08:55,HyperCity,Health,55465.90,INR,Mobile Payment,Yangshire,Deposit,December,Pending
tadams,GB52LSQL84001549620571,VISA,4598976129729677308,2025-02-01 13:44:46,BigBasket,Electronics,609.52,INR,Mobile Payment,North Victor,Refund,April,Reversed
rubiojocelyn,GB90OMMN24622427437132,Diners Club,3585541979992799,2025-01-02 10:08:20,Future Group,Health,55409.63,INR,Bank Transfer,Ortizshire,Purchase,August,Approved
amber55,GB74ESCM85282625075763,rupay,4567556535822538,2025-04-25 22:40:56,ShopClues,Travel,37790.20,INR,UPI,Port Cherylborough,Purchase,January,Reversed
mfisher,GB08VNXL69448956040367,Diners Club,372005148591760,2025-09-02 03:48:21,ShopClues,Dining,16084.90,INR,Credit Card,Richardton,Withdrawal,November,Pending
sheltonmary,GB97QDMD64387234661337,Diners Club,4662103302775534,2025-05-18 05:51:17,Shoppers Stop,Travel,96799.02,INR,Bank Transfer,South Christopher,Purchase,September,Pending
michellegonzalez,GB22AYML91297558664224,rupay,4622240332608,2025-01-01 05:08:48,Pantaloons,Dining,97326.46,INR,RTGS,New Jacobside,Purchase,June,Declined
george52,GB71JPGK28620600279458,Diners Club,4160637296713677,2025-07-22 23:48:45,Pantaloons,Dining,83064.61,INR,Bank Transfer,North Raymondview,Purchase,March,Declined
oryan,GB97GKZV69528597249467,VISA,213118033631568,2025-03-22 18:50:58,ShopClues,Clothing,60231.09,INR,Bank Transfer,West Aliciafurt,Purchase,March,Declined
alexandervicki,GB76WCIQ04894205727495,Diners Club,3591055952022708,2025-06-30 23:39:54,Spar Hypermarket,Health,86529.30,INR,Mobile Payment,South Shane,Deposit,March,Declined
gburns,GB71UFBL01969622967674,VISA,3528836791937653,2025-03-09 06:33:09,Snapdeal,Grocery,53317.22,INR,Mobile Payment,Nielsenbury,Withdrawal,July,Approved
xfox,GB43WRKB88570145111181,Diners Club,3556987466896107,2025-10-22 05:27:22,IKEA India,Grocery,22873.02,INR,RTGS,Barbaraland,Purchase,August,Reversed
zmckay,GB59HRPM42739363913944,American Express,2266367819532605,2025-12-19 08:12:38,Titan Company,Dining,37909.42,INR,Debit Card,East Jacobburgh,Deposit,November,Pending
jacksontaylor,GB70FIMG90129864767720,rupay,4974969886658023893,2025-09-21 17:47:48,Lenskart,Clothing,81149.47,INR,UPI,Kiddstad,Purchase,April,Approved
hernandezlisa,GB51TKHH65446982258056,VISA,3565152037516853,2025-03-22 08:31:30,V-Mart Retail Ltd,Electronics,28347.90,INR,UPI,New Laurenberg,Purchase,May,Reversed
stephaniekennedy,GB31JNCX58019075595003,Maestro,30119473156075,2025-01-29 03:46:15,Big Bazaar,Grocery,55885.43,INR,NEFT,Garciaview,Purchase,February,Pending
fwilson,GB61VDMM32221057834768,rupay,38645444774549,2025-02-25 06:57:27,Nilgiris,Travel,37642.84,INR,UPI,East Terryville,Purchase,April,Approved
darrenraymond,GB93UYJA00098968986190,amex,676347636836,2025-09-26 07:59:29,JioMart,Electronics,58890.00,INR,Credit Card,New Sarahview,Purchase,April,Approved
ellisscott,GB27JBIT16237947999747,amex,3534615725055341,2025-07-13 16:58:01,FirstCry,Health,25758.41,INR,RTGS,Davidside,Withdrawal,August,Approved
bcook,GB84DJKM78700138429298,Diners Club,2278237669202003,2025-03-22 18:32:34,Shoppers Stop,Health,38866.52,INR,Credit Card,Hesstown,Purchase,July,Pending
richard83,GB03APMH32164690337747,amex,180038849189875,2025-03-30 14:33:56,CaratLane,Dining,35122.35,INR,Bank Transfer,Brianchester,Deposit,November,Approved
xprice,GB09ICMC62020815172143,amex,4880682880597879,2025-11-11 10:27:41,Myntra,Dining,48326.56,INR,Debit Card,Collinsview,Refund,October,Reversed
edward25,GB45RBMS87791750138841,VISA,676228637036,2025-07-16 09:09:01,Marks & Spencer India,Health,95623.42,INR,UPI,East Darrellberg,Deposit,November,Reversed
valenciacarol,GB19ESYP33870617692143,American Express,30334805686406,2025-04-14 18:59:20,Decathlon India,Travel,40234.79,INR,Debit Card,Cooperbury,Refund,October,Reversed
idavenport,GB90EYCT68157057259615,VISA,342950001872202,2025-11-14 10:41:48,Spencer’s Retail,Electronics,21313.73,INR,Credit Card,Randallton,Purchase,November,Reversed
gutierrezlaurie,GB42WFRT27646372379726,American Express,6578170430934638,2025-04-15 06:35:37,DMart,Electronics,86097.35,INR,RTGS,New Rebeccafurt,Refund,January,Reversed
ashleyreyes,GB28LSTR37751219843521,saphiro,676399558953,2025-07-27 16:13:24,Metro Cash & Carry India,Grocery,88218.08,INR,Debit Card,Angelamouth,Deposit,June,Approved
maldonadopaul,GB72UBSZ93370091837627,amex,4335843979510611991,2025-08-05 08:33:12,Titan Company,Health,62579.84,INR,NEFT,New Alyssa,Withdrawal,April,Pending
wagnerjacob,GB23YVZJ08888880003488,saphiro,676220037813,2025-08-28 14:52:47,Flipkart,Electronics,31473.09,INR,Credit Card,Alexanderland,Purchase,November,Declined
ksingh,GB11LMUY92798713350554,American Express,4496723509937,2025-03-28 18:07:55,HyperCity,Health,7079.72,INR,Debit Card,Carlamouth,Refund,June,Reversed
joelramirez,GB86DBID66742589725933,chhupay,4176573871515710,2025-05-24 00:12:51,Spar Hypermarket,Grocery,74849.61,INR,Mobile Payment,South Daniellebury,Refund,August,Reversed
william81,GB57WMVE54031655662996,chhupay,4987416675272212,2025-08-21 16:46:00,Urban Ladder,Grocery,70306.53,INR,RTGS,East David,Withdrawal,July,Pending
qstone,GB29ZBTT83583418788868,VISA,3513069450575534,2025-02-27 00:00:04,Nilgiris,Dining,9304.90,INR,Credit Card,Kathleenton,Deposit,October,Declined
mevans,GB49YPRP08034100692767,Diners Club,342284340443339,2025-06-01 03:10:52,Lenskart,Grocery,41354.02,INR,NEFT,Port Summerland,Deposit,September,Declined
tduncan,GB67VNMH28217993721702,American Express,2275508861535462,2025-11-27 08:22:28,Titan Company,Dining,96518.29,INR,Bank Transfer,Ashleyton,Purchase,August,Approved
scott71,GB03NHLJ26830476679218,Mastercard,377929549448228,2025-10-21 20:54:02,Flipkart,Health,7549.65,INR,Bank Transfer,New Susanside,Refund,November,Declined
eglenn,GB43NVOR44078886239093,VISA,3533750976479055,2025-04-02 07:31:23,BigBasket,Clothing,99169.67,INR,RTGS,Port Amanda,Purchase,January,Pending
clarkdaniel,GB28XSNK96067538895142,chhupay,585755515764,2025-12-17 17:09:16,Metro Cash & Carry India,Health,34761.42,INR,RTGS,Lake Andreaberg,Withdrawal,September,Pending
alejandratran,GB17UDNP09456410757252,saphiro,6553252208415831,2025-04-08 15:12:23,Central,Grocery,86541.70,INR,Bank Transfer,Bethfort,Deposit,July,Pending
pattersonchristopher,GB98OJAV07363009657464,VISA,639063240308,2025-06-01 10:14:01,Spar Hypermarket,Health,6499.53,INR,Bank Transfer,Keithhaven,Deposit,January,Declined
nguyenhunter,GB84ESQK31193145315055,rupay,3533158621129374,2025-09-15 19:04:04,Bewakoof,Grocery,67907.59,INR,Mobile Payment,Port Kristin,Withdrawal,April,Reversed
jamesmeyers,GB47SIXX36940309493231,VISA,501801890622,2025-07-12 22:16:09,Snapdeal,Travel,5696.82,INR,Bank Transfer,Mathewchester,Refund,May,Declined
ypayne,GB81KIAX26341910387912,rupay,6530608869802872,2025-07-22 19:45:19,Pantaloons,Travel,33795.96,INR,Credit Card,Lake Katelynmouth,Deposit,September,Declined
nicholsoncharles,GB29ESNB04489862497767,Discover,371815353494687,2025-07-16 03:28:33,Pepperfry,Grocery,67022.63,INR,Debit Card,Port Joanne,Refund,January,Declined
ihuang,GB11NLEF28380452050453,amex,3563258858001552,2025-02-19 17:02:19,Snapdeal,Health,20214.14,INR,NEFT,East Matthew,Deposit,January,Declined
edward04,GB88JSPQ65452244297400,American Express,676194359714,2025-03-10 06:53:14,BigBasket,Clothing,87616.70,INR,Bank Transfer,Lake Zacharymouth,Purchase,October,Declined
deannahill,GB11ZHRP47132590541039,rupay,6544906289004820,2025-01-08 19:51:21,IKEA India,Dining,38754.69,INR,Bank Transfer,Katelynton,Purchase,December,Reversed
yblackburn,GB39HKLC98574931029112,VISA,3582567489932655,2025-08-27 23:24:18,DMart,Health,26357.52,INR,NEFT,New Rachelton,Deposit,December,Reversed
tony19,GB75UMTM53435653550528,Diners Club,4585241382347651,2025-11-08 08:56:30,BigBasket,Dining,91518.21,INR,NEFT,Carrieside,Withdrawal,January,Reversed
williamsjustin,GB50GDAB57718316590602,VISA,4471696730209963131,2025-04-27 21:51:03,Aditya Birla Retai,Dining,81964.97,INR,Credit Card,Chadville,Purchase,November,Approved
hannahdawson,GB16UPWE26169378371597,VISA,569536136512,2025-02-23 11:58:28,Fabindia,Travel,33299.78,INR,Credit Card,North Lauren,Withdrawal,March,Declined
bgarza,GB29AZCP64349079625619,VISA,3531667197348970,2025-03-09 06:04:49,JioMart,Health,64403.34,INR,RTGS,Rogersstad,Refund,December,Declined
laurenhanna,GB53VRNS47955757271282,Discover,30369640751627,2025-06-20 08:49:58,Bewakoof,Electronics,1014.32,INR,NEFT,Clarencetown,Withdrawal,December,Declined
thompsondavid,GB95VPCN10023290090721,rupay,4651135269624733593,2025-01-06 02:46:22,HyperCity,Dining,36219.29,INR,Bank Transfer,West Christie,Purchase,April,Pending
jacobspamela,GB54KLGY22201438867712,American Express,503883442686,2025-08-03 01:09:26,Flipkart,Health,99170.11,INR,Credit Card,Jamesfurt,Deposit,July,Declined
housebrittany,GB85JEWS55049909449704,amex,4983029758753596,2025-05-20 22:40:48,Foodhall,Health,57916.14,INR,UPI,Kaylafort,Deposit,September,Reversed
vbarber,GB35MIUA54363736637115,rupay,4040745783555949034,2025-11-23 11:47:36,Future Group,Travel,77692.69,INR,Mobile Payment,Dylanberg,Withdrawal,October,Reversed
cgarcia,GB26EQKJ93400720536740,Mastercard,4651135269624733593,2025-04-17 02:48:46,DMart,Health,391.84,INR,Credit Card,South Donnamouth,Deposit,April,Reversed
davidsellers,GB51RJVF63008682552997,amex,2338083192184559,2025-06-03 09:06:00,Spar Hypermarket,Health,66890.03,INR,Debit Card,Martinport,Withdrawal,September,Pending
omendez,GB84ECWT60114208056466,chhupay,6503254582289171,2025-04-09 04:13:54,Central,Clothing,11548.14,INR,UPI,New Carolineburgh,Refund,January,Declined
vsmith,GB83TIBI15327949605108,Diners Club,376423098724115,2025-06-27 21:31:33,Future Group,Grocery,47441.28,INR,Debit Card,West Shannonview,Purchase,May,Pending
meganjones,GB45NEGT05396168156521,Diners Club,4347916700221388167,2025-02-26 11:40:36,Lenskart,Grocery,30528.26,INR,Credit Card,North Lauraside,Refund,March,Pending
ritasmith,GB45ZNVU21946965243113,American Express,2720296171787921,2025-09-23 10:45:09,Pantaloons,Dining,8227.67,INR,NEFT,East Karen,Withdrawal,October,Pending
cpatel,GB46OYHF26935454881631,rupay,348798145069548,2025-12-18 13:45:19,V-Mart Retail Ltd,Grocery,81211.29,INR,UPI,South Danielmouth,Purchase,August,Reversed
kirkwebster,GB25QQMG91785785861351,Discover,4442856424035114,2025-11-30 13:57:21,Marks & Spencer India,Health,8858.58,INR,NEFT,Boothborough,Deposit,March,Declined
heatherlopez,GB72JYMP30628115386173,Diners Club,4038908092416389,2025-01-08 11:58:26,Decathlon India,Grocery,57906.87,INR,Debit Card,Clementsborough,Purchase,May,Approved
ewhite,GB43MIPF53548810232048,saphiro,6011836378738760,2025-12-20 01:14:58,Snapdeal,Clothing,28326.46,INR,UPI,Scotttown,Deposit,August,Approved
ubowman,GB68IKPD19856349870358,VISA,4532673541039296,2025-01-05 12:42:19,Pepperfry,Grocery,46247.82,INR,Bank Transfer,Hallside,Deposit,August,Approved
hansonrachel,GB88WLFA71741500163164,VISA,3596177113462121,2025-06-24 01:06:00,Meesho,Health,26397.28,INR,NEFT,New Christina,Purchase,August,Approved
laurarobinson,GB39GUXF39363328957061,Discover,4798841735881141,2025-01-11 21:24:39,Pepperfry,Clothing,78923.37,INR,Mobile Payment,Jameschester,Withdrawal,May,Declined
martinmadison,GB79MWON98602895494332,VISA,2266061176287982,2025-03-01 21:55:06,Nykaa,Health,44922.27,INR,Mobile Payment,West Jessemouth,Refund,March,Approved
morgankelly,GB84JWGG32006669465921,rupay,4683602600850043,2025-01-01 10:21:01,Marks & Spencer India,Health,6691.49,INR,Credit Card,Whiteshire,Deposit,March,Pending
randydudley,GB69AUUY89103488122503,Maestro,676228637036,2025-01-27 13:50:19,IKEA India,Dining,55683.91,INR,Bank Transfer,Danielton,Refund,February,Reversed
sarahcook,GB30YCNG41026261361309,Diners Club,3502178987226785,2025-02-28 05:22:29,Flipkart,Travel,55911.05,INR,Bank Transfer,Robertborough,Deposit,June,Approved
gmcdowell,GB85BXGG92790642147441,Diners Club,30398945519504,2025-05-25 16:17:13,Pepperfry,Electronics,52034.08,INR,Debit Card,West Nicole,Purchase,August,Reversed
carl20,GB16ARRT71576637828493,chhupay,3579366970575338,2025-07-16 05:12:28,Nykaa,Grocery,67369.66,INR,Mobile Payment,Villanuevastad,Refund,July,Declined
leslielopez,GB53NDXL20155957624940,saphiro,4068869799617781,2025-03-16 09:49:58,Nilgiris,Dining,32272.27,INR,UPI,Jennifertown,Purchase,December,Approved
owalters,GB88QMPW90070155928069,chhupay,36234231948897,2025-08-19 13:43:00,BlueStone,Electronics,64556.21,INR,Mobile Payment,Kevinbury,Purchase,July,Approved
samuel76,GB97BBJM70695683772799,American Express,3554445689793785,2025-02-09 08:44:39,Future Group,Electronics,82121.77,INR,UPI,Port William,Deposit,December,Approved
lindamartin,GB17YVEJ01688089492991,VISA,3510774028529904,2025-05-09 19:14:09,Urban Ladder,Dining,26560.51,INR,Mobile Payment,Blakeport,Purchase,February,Approved
fernandofriedman,GB55QBRI54072662799769,VISA,6544906289004820,2025-09-13 11:12:56,Bewakoof,Electronics,27504.48,INR,Credit Card,South Caitlin,Deposit,January,Declined
alejandratran,GB63WEVG46081937763026,Discover,6011859811144602,2025-08-12 01:26:23,Avenue Supermarts,Grocery,67747.60,INR,Debit Card,Wernerville,Purchase,June,Approved
rossjoshua,GB91JPZO65456996886207,chhupay,2305814607169903,2025-04-01 02:41:40,Decathlon India,Grocery,31380.07,INR,UPI,Teresaport,Purchase,March,Reversed
ginagreen,GB53RQDL61984145117354,amex,2700815648207645,2025-06-07 22:16:13,Bewakoof,Health,89760.91,INR,Debit Card,West Douglas,Withdrawal,July,Declined
pbrandt,GB88EHPR86770324449375,Diners Club,2227992600277066,2025-01-17 20:53:37,BigBasket,Health,37432.55,INR,Bank Transfer,New Ashley,Refund,November,Pending
bakercarrie,GB59ZGNZ83587263366641,rupay,341489196403995,2025-05-10 10:38:33,Foodhall,Travel,61957.63,INR,NEFT,North Renee,Purchase,December,Declined
joshuawarner,GB38HFJB88922567221860,Mastercard,3572858682678373,2025-03-25 14:42:26,Titan Company,Health,79277.64,INR,Bank Transfer,East Roger,Purchase,July,Pending
lauradavis,GB09LUGO44651880303919,Maestro,3531667197348970,2025-11-25 17:00:27,Myntra,Travel,55143.10,INR,UPI,Port Hector,Purchase,May,Reversed
jessica00,GB61SSGP56878283955254,Diners Club,213178379941393,2025-01-06 16:08:15,Titan Company,Health,94497.43,INR,RTGS,Port Melissaland,Withdrawal,July,Declined
marciaharper,GB54SLGP92781564056932,rupay,6011428185315576,2025-01-09 08:23:57,Lenskart,Grocery,5173.76,INR,Mobile Payment,Alexanderview,Withdrawal,March,Approved
rachel50,GB98NTWI95248768184327,American Express,4933252097105778822,2025-06-30 10:29:37,Pantaloons,Clothing,59338.45,INR,UPI,South Sarahfort,Deposit,September,Pending
francisjennifer,GB63AUNB41709800668287,rupay,4840406283818614171,2025-05-16 05:40:06,Nykaa,Travel,72899.83,INR,Mobile Payment,New Mary,Refund,January,Declined
andrea37,GB70VDMW53341204915575,saphiro,502010729544,2025-06-12 08:57:51,Godrej Consumer Products,Grocery,43503.39,INR,NEFT,Port Mike,Refund,November,Approved
meganjones,GB09LNQW78674079431186,VISA,3510495554142173,2025-01-13 19:52:41,Myntra,Dining,15645.04,INR,RTGS,Lewisport,Deposit,July,Reversed
beckcharles,GB09GKXY87553769563849,rupay,3581093756885840,2025-07-14 05:33:49,Flipkart,Travel,54030.75,INR,Mobile Payment,Mcdanielstad,Refund,July,Pending
pbrandt,GB13TIGN18394876088229,amex,4205231707176406,2025-12-02 04:57:27,Godrej Consumer Products,Travel,14917.38,INR,NEFT,New Dana,Withdrawal,May,Declined
grahamderrick,GB94BMOZ18641243245252,rupay,6011066252715615,2025-09-07 19:36:29,Reliance Digital,Electronics,34404.07,INR,Credit Card,South Jonathan,Refund,November,Approved
emilygallagher,GB55DWST09596019395315,amex,180040014507683,2025-02-12 04:56:27,Bewakoof,Clothing,88981.19,INR,Debit Card,Kevinhaven,Deposit,March,Declined
wardrobin,GB26TVOS08412552695434,amex,180068615340519,2025-08-22 03:14:42,Lenskart,Grocery,30846.82,INR,Mobile Payment,West Kellyhaven,Deposit,February,Declined
eric78,GB56DXXO46751324983051,Diners Club,639063240308,2025-06-28 10:42:16,Nykaa,Grocery,40380.66,INR,Credit Card,Gonzalezhaven,Refund,July,Approved
alexander28,GB56BAKR87644696210650,chhupay,4302979475521516,2025-02-21 07:25:09,Fabindia,Clothing,1722.71,INR,UPI,East Willieport,Refund,December,Pending
